Date,Total_Equity,Open_Positions_Count
2026-07-21,1000000.0,2
2026-07-21,1000000.0,2
2026-07-22,1000000.0,2
2026-07-23,1000000.0,3
2026-07-24,999839.84,3
2026-07-27,1000299.94,3
2026-07-28,999547.91,3
2026-07-29,1002677.36,3
2026-07-30,1002720.99,3
2026-07-31,1001618.62,3
2026-08-03,1005456.78,4
2026-08-04,1003869.16,4
2026-08-05,1003113.51,4
2026-08-06,1001581.8,4
2026-08-07,1001016.02,4
2026-08-10,999168.65,4
2026-08-11,998739.93,4
2026-08-12,997204.34,4
2026-08-13,997837.7,4
2026-08-14,996970.36,4
