Date,Time,Pair,Close_A,Close_B,Master_Signal,Z_Score,Beta,Reason
2026-09-16,05:33:42,TCS.NS-INFY.NS,2226.5,1075.6,HOLD,N/A,N/A,Spread within normal bounds
2026-09-16,05:33:42,ICICIBANK.NS-SBIN.NS,1352.4,986.3,HOLD,-2.057,0.387,Pair already active in portfolio
2026-09-16,05:33:42,RELIANCE.NS-HINDUNILVR.NS,1254.1,1966.4,HOLD,-1.536,0.149,Pair already active in portfolio
2026-09-16,05:33:42,KOTAKBANK.NS-BAJFINANCE.NS,412.75,1016.5,HOLD,N/A,N/A,Spread within normal bounds
2026-09-16,17:13:43,TCS.NS-INFY.NS,2188.8,1060.0,HOLD,N/A,N/A,Spread within normal bounds
2026-09-16,17:13:43,ICICIBANK.NS-SBIN.NS,1358.8,991.4,HOLD,-1.907,0.38,Pair already active in portfolio
2026-09-16,17:13:43,RELIANCE.NS-HINDUNILVR.NS,1240.0,1962.0,HOLD,-2.013,0.157,Pair already active in portfolio
2026-09-16,17:13:43,KOTAKBANK.NS-BAJFINANCE.NS,415.0,1006.2,HOLD,N/A,N/A,Spread within normal bounds
2026-09-17,17:12:55,TCS.NS-INFY.NS,2190.0,1058.6,HOLD,N/A,N/A,Spread within normal bounds
2026-09-17,17:12:55,ICICIBANK.NS-SBIN.NS,1347.6,988.7,HOLD,-2.088,0.425,Pair already active in portfolio
2026-09-17,17:12:55,RELIANCE.NS-HINDUNILVR.NS,1243.9,1942.2,HOLD,-1.545,0.178,Pair already active in portfolio
2026-09-17,17:12:55,KOTAKBANK.NS-BAJFINANCE.NS,416.5,1015.0,HOLD,N/A,N/A,Spread within normal bounds
2026-09-18,16:39:17,TCS.NS-INFY.NS,2105.0,1051.4,HOLD,N/A,N/A,Spread within normal bounds
2026-09-18,16:39:17,ICICIBANK.NS-SBIN.NS,1338.9,996.2,HOLD,-2.279,0.471,Pair already active in portfolio
2026-09-18,16:39:17,RELIANCE.NS-HINDUNILVR.NS,1226.4,1932.0,HOLD,-1.891,0.19,Pair already active in portfolio
2026-09-18,16:39:17,KOTAKBANK.NS-BAJFINANCE.NS,412.5,1040.3,HOLD,N/A,N/A,Spread within normal bounds
2026-09-21,18:17:26,TCS.NS-INFY.NS,2128.7,1038.5,HOLD,N/A,N/A,Spread within normal bounds
2026-09-21,18:17:26,ICICIBANK.NS-SBIN.NS,1345.0,996.0,HOLD,-1.745,0.501,Pair already active in portfolio
2026-09-21,18:17:26,RELIANCE.NS-HINDUNILVR.NS,1247.4,1947.0,HOLD,N/A,N/A,Spread within normal bounds
2026-09-21,18:17:26,KOTAKBANK.NS-BAJFINANCE.NS,414.8,1021.3,HOLD,N/A,N/A,Spread within normal bounds
2026-09-22,17:11:14,TCS.NS-INFY.NS,2105.0,1029.4,HOLD,N/A,N/A,Spread within normal bounds
2026-09-22,17:11:14,ICICIBANK.NS-SBIN.NS,1339.6,987.0,HOLD,-1.517,0.529,Pair already active in portfolio
2026-09-22,17:11:14,RELIANCE.NS-HINDUNILVR.NS,1240.4,1933.8,HOLD,N/A,N/A,Spread within normal bounds
2026-09-22,17:11:14,KOTAKBANK.NS-BAJFINANCE.NS,412.65,1008.8,HOLD,N/A,N/A,Spread within normal bounds
2026-09-23,17:23:14,TCS.NS-INFY.NS,2089.6,1020.5,HOLD,N/A,N/A,Spread within normal bounds
2026-09-23,17:23:14,ICICIBANK.NS-SBIN.NS,1340.0,994.1,HOLD,-1.527,0.57,Pair already active in portfolio
2026-09-23,17:23:14,RELIANCE.NS-HINDUNILVR.NS,1248.0,1950.0,HOLD,N/A,N/A,Spread within normal bounds
2026-09-23,17:23:14,KOTAKBANK.NS-BAJFINANCE.NS,413.25,1043.2,HOLD,N/A,N/A,Spread within normal bounds
